data_medicao;precipitacao_total_mensal(mm);temperatura_maxima_media_mensal(°c);temperatura_media_compensada_mensal(°c);temperatura_minima_media_mensal(°c);umidade_relativa_do_ar_media_mensal(%);cidade;estado;casos;pop;year;month
2012-07-01;19,1;24,390323;18,168387;13,364516;69,733871;maringa;PR;24.0;403063.0;2012;7
2012-07-01;2,3;23,216129;15,629032;9,380645;77,274194;barbacena;MG;0.0;135829.0;2012;7
2012-08-01;31,5;23,370968;15,945161;11,325806;77,862903;curitiba;PR;6.0;1893997.0;2012;8
2012-08-01;14,3;22,383871;15,155484;10,033333;80,887097;barbacena;MG;0.0;135829.0;2012;8
2012-08-01;2,7;28,625806;22,069677;17,151613;54,298387;maringa;PR;9.0;403063.0;2012;8
2012-08-01;0;31,583871;26,756774;22,93871;70,524194;fortaleza;CE;424.0;2609716.0;2012;8
2012-08-01;0;24,496774;19,347742;15,229032;55,491935;belo_horizonte;MG;149.0;2513451.0;2012;8
2012-08-01;0;26,670968;18,734194;10,835484;54,83871;divinopolis;MG;7.0;232945.0;2012;8
2012-08-01;17,9;29,096774;23,114839;19,603226;70,927419;rio_de_janeiro;RJ;1633.0;6498837.0;2012;8
2012-09-01;12,3;30,436667;21,972667;13,91;49,25;divinopolis;MG;5.0;232945.0;2012;9
2012-09-01;71,1;31,113333;23,624;17,373333;53,108333;maringa;PR;31.0;403063.0;2012;9
2012-09-01;87,9;29,603333;23,864;20,29;68,358333;rio_de_janeiro;RJ;1217.0;6498837.0;2012;9
2012-09-01;62,8;24,106667;16,773333;12,226667;75,908333;curitiba;PR;13.0;1893997.0;2012;9
2012-09-01;22,8;28,883333;22,372667;17,356667;49,316667;belo_horizonte;MG;290.0;2513451.0;2012;9
2012-09-01;26,4;26,21;17,894;11,133333;69,625;barbacena;MG;0.0;135829.0;2012;9
2012-09-01;37,9;27,513333;23,236667;20,203333;74,291667;vitoria;ES;355.0;359555.0;2012;9
2012-09-01;2,1;31,533333;26,959333;23,72;70,875;fortaleza;CE;292.0;2609716.0;2012;9
